date;time
08.12.2017;11:40:44

t[s];modifyMe[minutes];testCounterNegative[km/h];testCounter[km/h];backgroundlightsize[km/h]
15.453000; ;-696; ; ; 
15.460000; ;-696; ; ; 
15.470000; ;-696; ; ; 
15.480000; ;-696; ; ; 
15.494000;103;-696; ; ; 
15.520000; ; ; ;50; 
15.521000; ;-696; ; ; 
15.523000; ;-695; ; ; 
15.538000; ;-695; ; ; 
15.548000; ;-695;93; ; 
15.557000; ;-695; ; ; 
15.567000; ;-695; ;50; 
15.579000; ;-695; ; ; 
15.591000; ;-695; ; ; 
15.592000;103; ; ; ; 
15.611000; ;-695; ; ; 
15.624000; ;-694; ; ; 
15.637000; ;-694; ;50; 
15.649000; ; ;93; ; 
15.650000; ;-694; ; ; 
15.663000; ;-694; ; ; 
15.673000; ;-694; ; ; 
15.683000; ;-694; ; ; 
15.693000; ; ; ;50; 
15.694000;103;-694; ; ; 
15.721000; ;-694; ; ; 
15.723000; ;-693; ; ; 
15.733000; ;-693; ; ; 
15.741000; ;-693; ; ; 
15.751000; ;-693; ; ; 
15.762000; ;-693;93; ; 
15.764000; ; ; ;50; 
15.775000; ;-693; ; ; 
15.785000; ;-693; ; ; 
15.794000;103;-693; ; ; 
15.812000; ;-693; ; ; 
15.813000; ;-693; ; ; 
15.825000; ; ; ;50; 
15.826000; ;-692; ; ; 
15.836000; ;-692; ; ; 
15.845000; ;-692; ; ; 
15.855000; ;-692; ; ; 
15.867000; ; ;94; ; 
15.869000; ;-692; ; ; 
15.879000; ;-692; ; ; 
15.891000; ;-692; ;50; 
15.893000;103;-692; ; ; 
15.918000; ;-692; ; ; 
15.929000; ;-691; ; ; 
15.931000; ;-691; ; ; 
15.941000; ;-691; ;50; 
15.953000; ;-691; ; ; 
15.963000; ;-691; ; ; 
15.973000; ;-691; ; ; 
15.982000; ; ;94; ; 
15.983000; ;-691; ; ; 
15.994000;103;-691; ; ; 
16.021000; ;-691; ;50; 
16.023000; ;-690; ; ; 
16.034000; ;-690; ; ; 
16.044000; ;-690; ; ; 
16.050000; ;-690; ; ; 
16.060000; ;-690; ; ; 
16.067000; ; ; ;50; 
16.073000; ;-690; ; ; 
16.078000; ; ;94; ; 
16.083000; ;-690; ; ; 
16.090000;103;-690; ; ; 
16.102000; ;-690; ; ; 
16.110000; ;-690; ; ; 
16.120000; ;-689; ; ; 
16.124000; ; ; ;50; 
16.130000; ;-689; ; ; 
16.140000; ;-689; ; ; 
16.151000; ;-689; ; ; 
16.160000; ;-689; ; ; 
16.170000; ;-689; ; ; 
16.180000; ;-689; ; ; 
16.186000; ; ;94; ; 
16.189000; ; ; ;50; 
16.191000; ;-689; ; ; 
16.192000;103; ; ; ; 
16.203000; ;-689; ; ; 
16.210000; ;-689; ; ; 
16.220000; ;-688; ; ; 
16.230000; ;-688; ; ; 
16.240000; ;-688; ; ; 
16.249000; ; ; ;50; 
16.256000; ;-688; ; ; 
16.262000; ;-688; ; ; 
16.270000; ;-688; ; ; 
16.280000; ;-688; ; ; 
16.290000; ;-688; ; ; 
16.291000;103; ; ; ; 
16.302000; ; ;94; ; 
16.303000; ;-688; ; ; 
16.310000; ;-688; ; ; 
16.317000; ; ; ;50; 
16.324000; ;-687; ; ; 
16.330000; ;-687; ; ; 
16.341000; ;-687; ; ; 
16.351000; ;-687; ; ; 
16.361000; ;-687; ; ; 
16.370000; ;-687; ;50; 
16.380000; ;-687; ; ; 
16.390000;103;-687; ; ; 
16.406000; ;-687; ; ; 
16.417000; ; ;95; ; 
16.419000; ;-687; ; ; 
16.427000; ;-686; ; ; 
16.434000; ;-686; ; ; 
16.440000; ;-686; ;50; 
16.450000; ;-686; ; ; 
16.460000; ;-686; ; ; 
16.470000; ;-686; ; ; 
16.480000; ;-686; ; ; 
16.490000; ;-686; ; ; 
16.491000;103; ; ; ; 
16.505000; ;-686; ; ; 
16.513000; ;-686; ;50; 
16.522000; ;-685;95; ; 
16.530000; ;-685; ; ; 
16.540000; ;-685; ; ; 
16.550000; ;-685; ; ; 
16.560000; ; ; ;50; 
16.561000; ;-685; ; ; 
16.571000; ;-685; ; ; 
16.581000; ;-685; ; ; 
16.590000; ;-685; ; ; 
16.591000;103; ; ; ; 
16.605000; ;-685; ; ; 
16.612000; ;-685; ; ; 
16.620000; ;-684; ; ; 
16.630000; ; ;95; ; 
16.631000; ;-684; ;50; 
16.640000; ;-684; ; ; 
16.650000; ;-684; ; ; 
16.660000; ;-684; ; ; 
16.670000; ;-684; ; ; 
16.680000; ;-684; ; ; 
16.687000; ; ; ;50; 
16.695000;103;-684; ; ; 
16.707000; ;-684; ; ; 
16.713000; ;-684; ; ; 
16.720000; ;-683; ; ; 
16.730000; ;-683; ; ; 
16.738000; ; ;95; ; 
16.744000; ;-683; ; ; 
16.751000; ;-683; ;50; 
16.760000; ;-683; ; ; 
16.770000; ;-683; ; ; 
16.780000; ;-683; ; ; 
16.790000;103;-683; ; ; 
16.808000; ;-683; ; ; 
16.816000; ;-683; ;50; 
16.824000; ;-682; ; ; 
16.845000; ;-682; ; ; 
16.846000; ;-682; ; ; 
16.870000; ;-682;96; ; 
16.873000; ;-682; ; ; 
16.875000; ;-682; ; ; 
16.892000; ; ; ;50; 
16.893000; ;-682; ; ; 
16.895000;103; ; ; ; 
16.914000; ;-682; ; ; 
16.920000; ;-681; ; ; 
16.930000; ;-681; ; ; 
16.936000; ; ; ;50; 
16.941000; ;-681; ; ; 
16.950000; ;-681; ; ; 
16.955000; ; ;96; ; 
16.960000; ;-681; ; ; 
16.970000; ;-681; ; ; 
16.980000; ;-681; ; ; 
16.990000;103;-681; ; ; 
16.997000; ; ; ;50; 
17.000000; ;-681; ; ; 
17.010000; ;-681; ; ; 
17.020000; ;-680; ; ; 
17.031000; ;-680; ; ; 
17.041000; ;-680; ; ; 
17.050000; ;-680; ; ; 
17.060000; ;-680; ; ; 
17.068000; ; ;96; ; 
17.075000; ; ; ;50; 
17.076000; ;-680; ; ; 
17.083000; ;-680; ; ; 
17.090000; ;-680; ; ; 
17.091000;103; ; ; ; 
17.122000; ;-680; ; ; 
17.123000; ;-679; ; ; 
17.147000; ; ; ;50; 
17.148000; ;-679; ; ; 
17.150000; ;-679; ; ; 
17.151000; ;-679; ; ; 
17.170000; ;-679; ; ; 
17.188000; ; ;96; ; 
17.189000; ;-679; ; ; 
